frame.number,frame.time_relative,frame.time_delta,ip.src,ip.dst,_ws.col.Protocol,data.len,data.data,_ws.col.Info
70,69.611077000,1.001925000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
71,70.611942000,1.000865000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
72,71.619451000,1.007509000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
73,72.631612000,1.012161000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
74,73.643132000,1.011520000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
75,74.655019000,1.011887000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
76,75.667210000,1.012191000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
77,76.684237000,1.017027000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
78,77.687640000,1.003403000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
79,78.691947000,1.004307000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
80,79.692448000,1.000501000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
81,80.707576000,1.015128000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
82,81.717215000,1.009639000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
83,82.735094000,1.017879000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
84,83.745067000,1.009973000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
85,84.745973000,1.000906000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
86,85.759979000,1.014006000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
87,86.772863000,1.012884000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
88,87.782409000,1.009546000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
89,88.782708000,1.000299000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
90,89.785600000,1.002892000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
91,90.798852000,1.013252000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
92,91.812012000,1.013160000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
93,92.815042000,1.003030000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
94,93.827170000,1.012128000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
95,94.842979000,1.015809000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
96,95.850241000,1.007262000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
97,96.857053000,1.006812000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
98,97.860847000,1.003794000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
99,98.869331000,1.008484000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
100,99.869101000,0.999770000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
101,100.886012000,1.016911000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
102,101.891564000,1.005552000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
103,102.893834000,1.002270000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
104,103.906805000,1.012971000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
105,104.907823000,1.001018000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
106,105.917791000,1.009968000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
107,106.938856000,1.021065000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
108,107.955881000,1.017025000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
109,108.953037000,0.997156000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
110,109.961178000,1.008141000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
111,110.967419000,1.006241000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
112,111.968103000,1.000684000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
113,112.972036000,1.003933000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
114,113.980636000,1.008600000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
115,114.992934000,1.012298000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
116,115.991589000,0.998655000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
117,117.001357000,1.009768000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
118,118.000973000,0.999616000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
119,119.015402000,1.014429000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
120,120.019182000,1.003780000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
121,121.029901000,1.010719000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
122,122.035479000,1.005578000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
123,123.050105000,1.014626000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
124,124.063174000,1.013069000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
125,125.073113000,1.009939000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
126,126.087648000,1.014535000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
127,127.099221000,1.011573000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
128,128.111940000,1.012719000,192.168.11.11,192.168.11.1,UDP,3,222220,1024 → 1024 Len=3
